Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
Secondary Gas,hIoni,2212.000000,14.630595,0.062153,-0.807932,1.000000,0.000090
Secondary Gas,hIoni,2212.000000,14.631899,0.062166,-0.807938,1.000000,0.000412
Secondary Gas,hIoni,2212.000000,14.633704,0.062184,-0.807947,1.000000,0.000111
Secondary Gas,hIoni,2212.000000,14.636828,0.062216,-0.807963,1.000000,0.000245
Secondary Gas,hIoni,2212.000000,14.637231,0.062220,-0.807965,1.000000,0.000093
Secondary Gas,hIoni,2212.000000,14.638155,0.062229,-0.807969,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.638398,0.062232,-0.807970,1.000000,0.000016
Secondary Gas,hIoni,2212.000000,14.639323,0.062241,-0.807975,1.000000,0.000053
Secondary Gas,hIoni,2212.000000,14.640793,0.062256,-0.807982,1.000000,0.000148
Secondary Gas,hIoni,2212.000000,14.640891,0.062257,-0.807983,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.641063,0.062258,-0.807983,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.641717,0.062265,-0.807987,1.000000,0.000033
Secondary Gas,hIoni,2212.000000,14.642265,0.062270,-0.807989,1.000000,0.000050
Secondary Gas,hIoni,2212.000000,14.642984,0.062278,-0.807993,1.000000,0.001127
Secondary Gas,hIoni,2212.000000,14.643381,0.062282,-0.807995,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,14.644696,0.062295,-0.808001,1.000000,0.000405
Secondary Gas,hIoni,2212.000000,14.645294,0.062301,-0.808004,1.000000,0.000995
Secondary Gas,hIoni,2212.000000,14.647007,0.062318,-0.808012,1.000000,0.000578
Secondary Gas,hIoni,2212.000000,14.648051,0.062329,-0.808017,1.000000,0.000024
