Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary Cathode,eIoni,-11.000000,15.425960,0.833970,-1.677253,4.000000,0.000008
Secondary Cathode,eIoni,-11.000000,15.425936,0.833972,-1.677256,4.000000,0.000119
Secondary Cathode,eIoni,-11.000000,15.425930,0.833972,-1.677256,4.000000,0.000038
Secondary Cathode,eIoni,-11.000000,15.425892,0.833974,-1.677260,4.000000,0.000367
Secondary Cathode,msc,-11.000000,15.425892,0.833974,-1.677260,4.000000,0.000002
Secondary Cathode,msc,-11.000000,15.425883,0.833974,-1.677261,4.000000,0.000027
Secondary Cathode,eIoni,-11.000000,15.425874,0.833974,-1.677262,4.000000,0.000019
Secondary Cathode,eIoni,-11.000000,15.425757,0.833980,-1.677275,4.000000,0.000554
Secondary Cathode,msc,-11.000000,15.425749,0.833980,-1.677275,4.000000,0.000155
Secondary Cathode,eIoni,-11.000000,15.425743,0.833980,-1.677276,4.000000,0.000030
Secondary Cathode,eIoni,-11.000000,15.425695,0.833982,-1.677282,4.000000,0.000535
Secondary Cathode,eIoni,-11.000000,15.425548,0.833989,-1.677299,4.000000,0.000668
Secondary Cathode,msc,-11.000000,15.425539,0.833989,-1.677300,4.000000,0.000015
Secondary Cathode,eIoni,-11.000000,15.425536,0.833989,-1.677301,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.425360,0.833997,-1.677322,4.000000,0.000618
Secondary Cathode,eIoni,-11.000000,15.425355,0.833997,-1.677322,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.425354,0.833997,-1.677322,4.000000,0.000007
Secondary Cathode,eIoni,-11.000000,15.425343,0.833997,-1.677324,4.000000,0.000159
Secondary Cathode,eIoni,-11.000000,15.425314,0.833999,-1.677327,4.000000,0.000250
Secondary Cathode,eIoni,-11.000000,15.425231,0.834002,-1.677337,4.000000,0.000437
Secondary Cathode,eIoni,-11.000000,15.425209,0.834004,-1.677339,4.000000,0.000072
Secondary Cathode,msc,-11.000000,15.425209,0.834004,-1.677339,4.000000,0.000002
