Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary SupportRod,eIoni,-11.000000,4.168437,-0.999600,-1.825746,9.000000,0.000141
Secondary SupportRod,eIoni,-11.000000,4.168441,-0.999601,-1.826339,9.000000,0.000476
Secondary SupportRod,eIoni,-11.000000,4.168436,-0.999601,-1.826560,9.000000,0.000138
Secondary SupportRod,eIoni,-11.000000,4.168431,-0.999601,-1.826926,9.000000,0.000141
Secondary SupportRod,eIoni,-11.000000,4.168430,-0.999601,-1.826975,9.000000,0.000035
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999602,-1.827753,9.000000,0.000673
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999602,-1.827854,9.000000,0.000136
Secondary SupportRod,eIoni,-11.000000,4.168421,-0.999602,-1.828068,9.000000,0.000086
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999602,-1.828268,9.000000,0.000139
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999602,-1.828309,9.000000,0.000079
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999602,-1.828350,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.168418,-0.999603,-1.828532,9.000000,0.000233
Secondary SupportRod,eIoni,-11.000000,4.168420,-0.999603,-1.829553,9.000000,0.000664
Secondary SupportRod,eIoni,-11.000000,4.168319,-0.999604,-1.829925,9.000000,0.000509
Secondary SupportRod,eIoni,-11.000000,4.168247,-0.999605,-1.830220,9.000000,0.000271
Secondary SupportRod,eIoni,-11.000000,4.168247,-0.999605,-1.830220,9.000000,0.000023
Secondary SupportRod,eIoni,-11.000000,4.168241,-0.999605,-1.830215,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.168191,-0.999605,-1.830285,9.000000,0.000453
Secondary SupportRod,eIoni,-11.000000,4.168181,-0.999605,-1.830283,9.000000,0.000064
Secondary SupportRod,eIoni,-11.000000,4.168163,-0.999606,-1.830277,9.000000,0.000099
Secondary SupportRod,eIoni,-11.000000,4.168121,-0.999606,-1.830236,9.000000,0.000234
Secondary SupportRod,eIoni,-11.000000,4.168078,-0.999606,-1.830202,9.000000,0.000367
Secondary SupportRod,eIoni,-11.000000,4.167967,-0.999607,-1.830135,9.000000,0.000446
Secondary SupportRod,eIoni,-11.000000,4.167963,-0.999607,-1.830130,9.000000,0.000030
Secondary SupportRod,eIoni,-11.000000,4.167897,-0.999607,-1.830072,9.000000,0.000194
Secondary SupportRod,eIoni,-11.000000,4.167834,-0.999608,-1.829963,9.000000,0.000382
Secondary SupportRod,eIoni,-11.000000,4.167801,-0.999608,-1.829922,9.000000,0.000236
Secondary SupportRod,eIoni,-11.000000,4.167787,-0.999608,-1.829893,9.000000,0.000071
Secondary SupportRod,eIoni,-11.000000,4.167760,-0.999608,-1.829826,9.000000,0.000069
Secondary SupportRod,eIoni,-11.000000,4.167744,-0.999608,-1.829769,9.000000,0.000160
Secondary SupportRod,eIoni,-11.000000,4.167712,-0.999609,-1.829657,9.000000,0.000157
Secondary SupportRod,eIoni,-11.000000,4.167704,-0.999609,-1.829626,9.000000,0.000064
Secondary SupportRod,eIoni,-11.000000,4.167642,-0.999609,-1.829379,9.000000,0.000518
Secondary SupportRod,eIoni,-11.000000,4.167631,-0.999609,-1.829286,9.000000,0.000105
Secondary SupportRod,eIoni,-11.000000,4.167627,-0.999610,-1.829108,9.000000,0.000129
Secondary SupportRod,eIoni,-11.000000,4.167624,-0.999610,-1.828945,9.000000,0.000089
Secondary SupportRod,eIoni,-11.000000,4.167621,-0.999610,-1.828868,9.000000,0.000064
