Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary Gas,hIoni,2212.000000,14.495929,-0.553813,1.472232,1.000000,0.000073
Secondary Gas,hIoni,2212.000000,14.496936,-0.553843,1.472340,1.000000,0.000212
Secondary Gas,hIoni,2212.000000,14.497265,-0.553853,1.472374,1.000000,0.000022
Secondary Gas,hIoni,2212.000000,14.497956,-0.553874,1.472448,1.000000,0.000433
Secondary Gas,hIoni,2212.000000,14.498153,-0.553880,1.472469,1.000000,0.000013
Secondary Gas,hIoni,2212.000000,14.499962,-0.553935,1.472660,1.000000,0.000795
Secondary Gas,hIoni,2212.000000,14.500000,-0.553936,1.472665,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.500517,-0.553951,1.472719,1.000000,0.000097
Secondary Gas,hIoni,2212.000000,14.501373,-0.553978,1.472810,1.000000,0.000081
Secondary Gas,hIoni,2212.000000,14.501452,-0.553980,1.472819,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.501823,-0.553991,1.472858,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.502331,-0.554007,1.472912,1.000000,0.000017
Secondary Gas,hIoni,2212.000000,14.503903,-0.554056,1.473078,1.000000,0.001300
Secondary Gas,hIoni,2212.000000,14.504242,-0.554066,1.473114,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.505319,-0.554099,1.473229,1.000000,0.000827
Secondary Gas,hIoni,2212.000000,14.506360,-0.554132,1.473340,1.000000,0.000381
Secondary Gas,hIoni,2212.000000,14.509138,-0.554218,1.473634,1.000000,0.000648
Secondary Gas,hIoni,2212.000000,14.509947,-0.554244,1.473720,1.000000,0.000017
Secondary Gas,hIoni,2212.000000,14.510008,-0.554246,1.473726,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.510320,-0.554255,1.473760,1.000000,0.000275
Secondary Gas,hIoni,2212.000000,14.510420,-0.554259,1.473770,1.000000,0.000015
Secondary Gas,hIoni,2212.000000,14.510842,-0.554272,1.473815,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,14.510894,-0.554273,1.473820,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.511350,-0.554288,1.473869,1.000000,0.000035
Secondary Gas,hIoni,2212.000000,14.512869,-0.554335,1.474029,1.000000,0.001020
Secondary Gas,hIoni,2212.000000,14.512930,-0.554337,1.474035,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.513421,-0.554352,1.474087,1.000000,0.000058
Secondary Gas,hIoni,2212.000000,14.513670,-0.554360,1.474113,1.000000,0.000027
Secondary Gas,hIoni,2212.000000,14.514015,-0.554370,1.474149,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,14.514637,-0.554390,1.474214,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.515326,-0.554411,1.474287,1.000000,0.000035
Secondary Gas,hIoni,2212.000000,14.515646,-0.554421,1.474321,1.000000,0.000345
Secondary Gas,hIoni,2212.000000,14.516282,-0.554441,1.474388,1.000000,0.000105
Secondary Gas,hIoni,2212.000000,14.516910,-0.554460,1.474454,1.000000,0.000016
Secondary Gas,hIoni,2212.000000,14.517606,-0.554482,1.474527,1.000000,0.000174
Secondary Gas,hIoni,2212.000000,14.517818,-0.554489,1.474549,1.000000,0.000023
Secondary Gas,hIoni,2212.000000,14.517884,-0.554491,1.474556,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.518014,-0.554495,1.474570,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.519265,-0.554534,1.474702,1.000000,0.000232
Secondary Gas,hIoni,2212.000000,14.520159,-0.554562,1.474796,1.000000,0.000285
Secondary Gas,hIoni,2212.000000,14.520842,-0.554583,1.474868,1.000000,0.000683
Secondary Gas,hIoni,2212.000000,14.522261,-0.554627,1.475018,1.000000,0.000133
Secondary Gas,hIoni,2212.000000,14.522442,-0.554632,1.475037,1.000000,0.000169
Secondary Gas,hIoni,2212.000000,14.522498,-0.554634,1.475043,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.522825,-0.554644,1.475077,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,14.523123,-0.554654,1.475109,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,14.523154,-0.554654,1.475112,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.524941,-0.554710,1.475301,1.000000,0.000699
Secondary Gas,hIoni,2212.000000,14.525319,-0.554722,1.475341,1.000000,0.000240
Secondary Gas,hIoni,2212.000000,14.525479,-0.554726,1.475357,1.000000,0.000113
Secondary Gas,hIoni,2212.000000,14.525696,-0.554733,1.475380,1.000000,0.000023
Secondary Gas,hIoni,2212.000000,14.525926,-0.554740,1.475405,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.526336,-0.554753,1.475448,1.000000,0.000174
Secondary Gas,hIoni,2212.000000,14.528959,-0.554834,1.475725,1.000000,0.000370
Secondary Gas,hIoni,2212.000000,14.529257,-0.554843,1.475756,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.530386,-0.554877,1.475875,1.000000,0.000595
Secondary Gas,hIoni,2212.000000,14.531394,-0.554908,1.475982,1.000000,0.000137
Secondary Gas,hIoni,2212.000000,14.532343,-0.554936,1.476081,1.000000,0.000480
Secondary Gas,hIoni,2212.000000,14.532458,-0.554940,1.476093,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.532855,-0.554952,1.476135,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.533788,-0.554979,1.476233,1.000000,0.000629
Secondary Gas,hIoni,2212.000000,14.533879,-0.554982,1.476242,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.533938,-0.554984,1.476248,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.533943,-0.554984,1.476249,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.534884,-0.555012,1.476347,1.000000,0.000286
Secondary Gas,hIoni,2212.000000,14.535132,-0.555019,1.476373,1.000000,0.000009
Secondary Gas,hIoni,2212.000000,14.535419,-0.555028,1.476403,1.000000,0.000133
Secondary Gas,hIoni,2212.000000,14.536059,-0.555047,1.476470,1.000000,0.000011
Secondary Gas,hIoni,2212.000000,14.537399,-0.555087,1.476610,1.000000,0.000078
Secondary Gas,hIoni,2212.000000,14.537813,-0.555099,1.476653,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.540042,-0.555165,1.476884,1.000000,0.000702
Secondary Gas,hIoni,2212.000000,14.540054,-0.555166,1.476885,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.540546,-0.555180,1.476936,1.000000,0.000184
