Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary SupportRod,phot,22.000000,14.293681,-0.999914,2.846509,357.000000,0.000030
Secondary SupportRod,phot,22.000000,14.293696,-0.999914,2.846555,356.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293699,-0.999914,2.846545,356.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293699,-0.999914,2.846562,356.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293697,-0.999914,2.846550,356.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293692,-0.999914,2.846549,375.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293817,-0.999914,2.846706,307.000000,0.000060
Secondary SupportRod,phot,22.000000,14.293838,-0.999914,2.846603,381.000000,0.000030
Secondary SupportRod,phot,22.000000,14.293836,-0.999914,2.846612,381.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293837,-0.999914,2.846609,381.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293888,-0.999914,2.845815,379.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293895,-0.999914,2.845926,379.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293895,-0.999914,2.845927,397.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293895,-0.999914,2.845926,397.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293845,-0.999914,2.846601,379.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293845,-0.999914,2.846604,403.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293844,-0.999914,2.846591,403.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293738,-0.999915,2.847085,307.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293775,-0.999915,2.847159,307.000000,0.000030
Secondary SupportRod,phot,22.000000,14.291027,-0.999912,2.828526,306.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291024,-0.999912,2.828534,306.000000,0.000030
Secondary SupportRod,phot,22.000000,14.291025,-0.999912,2.828535,306.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291026,-0.999912,2.828537,306.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291030,-0.999912,2.828519,438.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290977,-0.999912,2.828552,306.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290697,-0.999914,2.825273,306.000000,0.000080
Secondary SupportRod,phot,22.000000,14.290697,-0.999914,2.825284,445.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290697,-0.999914,2.825280,452.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290697,-0.999914,2.825272,445.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290697,-0.999914,2.825273,455.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290730,-0.999914,2.825689,444.000000,0.000020
Secondary SupportRod,phot,22.000000,14.290718,-0.999914,2.825758,459.000000,0.000020
Secondary SupportRod,phot,22.000000,14.290717,-0.999914,2.825757,462.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290717,-0.999914,2.825752,465.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290716,-0.999914,2.825757,465.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290715,-0.999914,2.825759,469.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289815,-0.999915,2.822987,443.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289815,-0.999915,2.822991,479.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289818,-0.999915,2.822994,443.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289817,-0.999915,2.822992,443.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289813,-0.999915,2.822953,443.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289801,-0.999915,2.822910,485.000000,0.000000
Secondary SupportRod,phot,22.000000,14.289793,-0.999915,2.822977,485.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289808,-0.999915,2.822926,485.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289805,-0.999915,2.822933,492.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289838,-0.999915,2.823100,443.000000,0.000040
Secondary SupportRod,phot,22.000000,14.289859,-0.999915,2.823117,497.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289865,-0.999915,2.823102,501.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289864,-0.999915,2.823092,503.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289865,-0.999915,2.823076,505.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289722,-0.999915,2.826828,443.000000,0.000040
Secondary SupportRod,phot,22.000000,14.289724,-0.999915,2.826808,510.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289724,-0.999915,2.826809,515.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289714,-0.999915,2.826868,510.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289712,-0.999915,2.826867,519.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289611,-0.999915,2.827099,509.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289612,-0.999915,2.827173,509.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289612,-0.999915,2.827172,533.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289611,-0.999915,2.827174,537.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289612,-0.999915,2.827170,533.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289655,-0.999915,2.826692,509.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289641,-0.999915,2.826845,509.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289641,-0.999915,2.826845,542.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289623,-0.999915,2.827259,509.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289623,-0.999915,2.827260,545.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289665,-0.999915,2.826547,509.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289663,-0.999915,2.826535,549.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289665,-0.999915,2.826551,549.000000,0.000010
Secondary SupportRod,phot,22.000000,14.289683,-0.999915,2.826592,509.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289696,-0.999915,2.826862,509.000000,0.000020
Secondary SupportRod,phot,22.000000,14.289951,-0.999914,2.825338,443.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290518,-0.999914,2.825498,442.000000,0.000029
Secondary SupportRod,phot,22.000000,14.290518,-0.999914,2.825496,442.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290517,-0.999914,2.825498,442.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290516,-0.999914,2.825526,569.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290514,-0.999914,2.825522,571.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290514,-0.999914,2.825521,573.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290611,-0.999914,2.825180,442.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290611,-0.999914,2.825179,576.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290607,-0.999914,2.825306,442.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290635,-0.999914,2.825348,560.000000,0.000020
Secondary SupportRod,phot,22.000000,14.290679,-0.999914,2.825501,581.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290679,-0.999914,2.825505,585.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290690,-0.999914,2.825513,581.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290691,-0.999914,2.825508,588.000000,0.000020
Secondary SupportRod,phot,22.000000,14.290607,-0.999914,2.825307,579.000000,0.000030
Secondary SupportRod,phot,22.000000,14.290608,-0.999914,2.825310,579.000000,0.000010
Secondary SupportRod,phot,22.000000,14.290607,-0.999914,2.825307,579.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291720,-0.999913,2.825507,306.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291710,-0.999913,2.825499,600.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291709,-0.999913,2.825489,602.000000,0.000010
Secondary SupportRod,phot,22.000000,14.291709,-0.999913,2.825509,602.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293069,-0.999916,2.801115,306.000000,0.000030
Secondary SupportRod,phot,22.000000,14.293053,-0.999916,2.801832,607.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293049,-0.999916,2.801833,607.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293049,-0.999916,2.801833,618.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293048,-0.999916,2.801837,618.000000,0.000010
