Volume, Process, Particle, Process, Radius, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Cathode,phot,22,15.7291,374,1.274e-05
Secondary Cathode,phot,22,15.7291,373,3.839e-05
Secondary Cathode,phot,22,15.7291,383,1.274e-05
Secondary Cathode,phot,22,15.7291,373,3.856e-05
Secondary Cathode,phot,22,15.7291,388,1.274e-05
Secondary Cathode,phot,22,15.7291,392,1.274e-05
Secondary Cathode,phot,22,15.7291,392,1.492e-05
Secondary Cathode,phot,22,15.7291,365,1.274e-05
Secondary Cathode,phot,22,15.7291,397,1.291e-05
Secondary Cathode,phot,22,15.7294,311,1.274e-05
Secondary Cathode,phot,22,15.7294,400,1.274e-05
Secondary Cathode,phot,22,15.7294,311,1.291e-05
Secondary Cathode,phot,22,15.7294,311,1.274e-05
Secondary Cathode,phot,22,15.7293,311,3.839e-05
Secondary Cathode,phot,22,15.7293,406,3.839e-05
Secondary Cathode,phot,22,15.7293,310,1.274e-05
Secondary Cathode,phot,22,15.7293,415,1.274e-05
Secondary Cathode,phot,22,15.7293,310,1.274e-05
Secondary Cathode,phot,22,15.7301,181,5.113e-05
Secondary Cathode,phot,22,15.7301,421,1.274e-05
Secondary Cathode,phot,22,15.7301,425,1.291e-05
Secondary Cathode,phot,22,15.7302,181,2.565e-05
Secondary Cathode,phot,22,15.7302,428,1.291e-05
Secondary Cathode,phot,22,15.7302,428,1.274e-05
Secondary Cathode,phot,22,15.7302,433,1.291e-05
Secondary Cathode,phot,22,15.7304,181,3.839e-05
Secondary Cathode,phot,22,15.7304,438,1.291e-05
Secondary Cathode,phot,22,15.7304,438,1.274e-05
Secondary Cathode,phot,22,15.7304,437,1.274e-05
Secondary Cathode,phot,22,15.7304,437,2.565e-05
Secondary Cathode,phot,22,15.7306,181,1.274e-05
Secondary Cathode,phot,22,15.7306,450,1.466e-05
Secondary Cathode,phot,22,15.7306,181,6.421e-05
Secondary Cathode,phot,22,15.7306,455,1.274e-05
Secondary Cathode,phot,22,15.7306,460,1.274e-05
Secondary Cathode,phot,22,15.7306,455,1.283e-05
Secondary Cathode,phot,22,15.7306,463,2.565e-05
Secondary Cathode,phot,22,15.7306,453,3.822e-05
Secondary Cathode,phot,22,15.7306,469,1.492e-05
Secondary Cathode,phot,22,15.7314,181,5.113e-05
Secondary Cathode,phot,22,15.7314,475,3.335e-05
Secondary Cathode,phot,22,15.7314,479,1.291e-05
Secondary Cathode,phot,22,15.7316,474,6.37e-06
Secondary Cathode,phot,22,15.7316,490,2.565e-05
Secondary Cathode,phot,22,15.7316,474,2.565e-05
Secondary Cathode,phot,22,15.7316,474,1.274e-05
Secondary Cathode,phot,22,15.7316,496,1.291e-05
Secondary Cathode,phot,22,15.7316,474,2.565e-05
Secondary Cathode,phot,22,15.7316,499,1.492e-05
Secondary Cathode,phot,22,15.7317,499,2.548e-05
Secondary Cathode,phot,22,15.7316,474,1.291e-05
Secondary Cathode,phot,22,15.7315,474,3.856e-05
Secondary Cathode,phot,22,15.7315,508,2.565e-05
Secondary Cathode,phot,22,15.7315,511,1.274e-05
Secondary Cathode,phot,22,15.7315,514,1.291e-05
Secondary Cathode,phot,22,15.7137,13,2.565e-05
Secondary Cathode,phot,22,15.7134,13,3.856e-05
Secondary Cathode,phot,22,15.7134,520,2.565e-05
Secondary Cathode,phot,22,15.7134,523,3.318e-05
Secondary Cathode,phot,22,15.7134,526,1.292e-05
Secondary Cathode,phot,22,15.7136,519,1.466e-05
Secondary Cathode,phot,22,15.7136,519,2.557e-05
Secondary Cathode,phot,22,15.7136,539,1.274e-05
Secondary Cathode,phot,22,15.7136,543,1.274e-05
Secondary Cathode,phot,22,15.7136,538,1.274e-05
Secondary Cathode,phot,22,15.7136,538,2.984e-05
Secondary Cathode,phot,22,15.7137,550,1.291e-05
Secondary Cathode,phot,22,15.7135,519,2.565e-05
Secondary Cathode,phot,22,15.7135,519,7.434e-05
Secondary Cathode,phot,22,15.7135,557,1.291e-05
Secondary Cathode,phot,22,15.7135,557,3.767e-05
Secondary Cathode,phot,22,15.7135,557,2.565e-05
Secondary Cathode,phot,22,15.7135,556,1.929e-05
Secondary Cathode,phot,22,15.7135,519,1.291e-05
Secondary Cathode,phot,22,15.7151,13,7.712e-05
Secondary Cathode,phot,22,15.7151,577,2.565e-05
Secondary Cathode,phot,22,15.7151,577,1.291e-05
Secondary Cathode,phot,22,15.7151,575,2.565e-05
Secondary Cathode,phot,22,15.7225,13,1.291e-05
Secondary Cathode,phot,22,15.7225,589,1.274e-05
Secondary Cathode,phot,22,15.7225,589,2.565e-05
Secondary Cathode,phot,22,15.7226,13,3.839e-05
Secondary Cathode,phot,22,15.7208,13,3.856e-05
Secondary Cathode,phot,22,15.7208,600,1.291e-05
Secondary Cathode,phot,22,15.7208,603,1.466e-05
Secondary Cathode,phot,22,15.7208,600,2.548e-05
Secondary Cathode,phot,22,15.7207,598,5.147e-05
Secondary Cathode,phot,22,15.7208,612,2.565e-05
Secondary Cathode,phot,22,15.7208,615,1.291e-05
Secondary Cathode,phot,22,15.7209,610,1.291e-05
Secondary Cathode,phot,22,15.7209,625,1.291e-05
Secondary Cathode,phot,22,15.7209,610,1.291e-05
Secondary Cathode,phot,22,15.7209,628,3.335e-05
Secondary Cathode,phot,22,15.7209,610,5.113e-05
Secondary Cathode,phot,22,15.7209,634,1.466e-05
Secondary Cathode,phot,22,15.7209,639,1.274e-05
Secondary Cathode,phot,22,15.7209,634,4.476e-05
Secondary Cathode,phot,22,15.7209,642,6.37e-06
Secondary Cathode,phot,22,15.7209,610,6.37e-06
Secondary Cathode,phot,22,15.7209,647,1.466e-05
Secondary Cathode,phot,22,15.7207,610,2.565e-05
Secondary Cathode,phot,22,15.7207,610,1.274e-05
Secondary Cathode,phot,22,15.7208,598,3.839e-05
Secondary Cathode,phot,22,15.7235,13,1.274e-05
Secondary Cathode,phot,22,15.7235,656,1.274e-05
Secondary Cathode,phot,22,15.7215,13,1.492e-05
