Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Gas,hIoni,2212.000000,11.751012,0.154455,-1.751395,1.000000,0.000065
Secondary Gas,hIoni,2212.000000,11.751508,0.154463,-1.751445,1.000000,0.000140
Secondary Gas,hIoni,2212.000000,11.751702,0.154465,-1.751464,1.000000,0.000046
Secondary Gas,hIoni,2212.000000,11.752135,0.154472,-1.751508,1.000000,0.000014
Secondary Gas,hIoni,2212.000000,11.752366,0.154475,-1.751531,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.752654,0.154479,-1.751560,1.000000,0.000013
Secondary Gas,hIoni,2212.000000,11.752755,0.154481,-1.751570,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.752780,0.154481,-1.751573,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.753870,0.154497,-1.751682,1.000000,0.000020
Secondary Gas,hIoni,2212.000000,11.753903,0.154498,-1.751685,1.000000,0.000071
Secondary Gas,hIoni,2212.000000,11.755089,0.154515,-1.751805,1.000000,0.000800
Secondary Gas,hIoni,2212.000000,11.755182,0.154517,-1.751814,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,11.755478,0.154521,-1.751844,1.000000,0.000232
Secondary Gas,hIoni,2212.000000,11.756459,0.154536,-1.751943,1.000000,0.000089
Secondary Gas,hIoni,2212.000000,11.756621,0.154538,-1.751959,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.758633,0.154568,-1.752163,1.000000,0.000661
Secondary Gas,hIoni,2212.000000,11.758774,0.154570,-1.752177,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.758836,0.154571,-1.752183,1.000000,0.000188
Secondary Gas,hIoni,2212.000000,11.759933,0.154587,-1.752294,1.000000,0.000194
Secondary Gas,hIoni,2212.000000,11.760638,0.154598,-1.752365,1.000000,0.000090
Secondary Gas,hIoni,2212.000000,11.761148,0.154605,-1.752416,1.000000,0.000046
Secondary Gas,hIoni,2212.000000,11.761618,0.154612,-1.752464,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.761673,0.154613,-1.752469,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.762878,0.154630,-1.752590,1.000000,0.000090
Secondary Gas,hIoni,2212.000000,11.763134,0.154634,-1.752616,1.000000,0.000244
Secondary Gas,hIoni,2212.000000,11.763466,0.154639,-1.752649,1.000000,0.000070
Secondary Gas,hIoni,2212.000000,11.764896,0.154660,-1.752793,1.000000,0.000124
Secondary Gas,hIoni,2212.000000,11.765564,0.154670,-1.752860,1.000000,0.000019
