 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 12, 2020 
 ==================================================================

 Disk File Name = SR_OUTPUT.txt

 Ion = Helium       [2] , Mass = 4.0026 amu

 Density =  1.7600E-03 g/cm3 = 2.9001E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    090.74    099.19   
      H      1    007.41    000.20   
      C      6    001.85    000.61   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4.0026 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 325.00 keV   1.167E+00  3.579E-03    2.49 mm   371.33 um   436.84 um  
 350.00 keV   1.202E+00  3.379E-03    2.61 mm   374.40 um   443.47 um  
 375.00 keV   1.233E+00  3.202E-03    2.72 mm   377.21 um   449.62 um  
 400.00 keV   1.258E+00  3.044E-03    2.83 mm   379.79 um   455.37 um  
 450.00 keV   1.294E+00  2.774E-03    3.05 mm   385.06 um   465.90 um  
 500.00 keV   1.316E+00  2.552E-03    3.26 mm   389.79 um   475.47 um  
 550.00 keV   1.327E+00  2.366E-03    3.48 mm   394.14 um   484.32 um  
 600.00 keV   1.329E+00  2.207E-03    3.69 mm   398.23 um   492.65 um  
 650.00 keV   1.324E+00  2.069E-03    3.90 mm   402.11 um   500.58 um  
 700.00 keV   1.315E+00  1.949E-03    4.11 mm   405.86 um   508.21 um  
 800.00 keV   1.289E+00  1.749E-03    4.54 mm   415.31 um   522.86 um  
 900.00 keV   1.255E+00  1.589E-03    4.99 mm   424.58 um   537.00 um  
   1.00 MeV   1.219E+00  1.458E-03    5.44 mm   433.86 um   550.88 um  
   1.10 MeV   1.182E+00  1.348E-03    5.91 mm   443.24 um   564.68 um  
   1.20 MeV   1.146E+00  1.255E-03    6.40 mm   452.79 um   578.52 um  
   1.30 MeV   1.111E+00  1.174E-03    6.90 mm   462.56 um   592.50 um  
   1.40 MeV   1.078E+00  1.104E-03    7.41 mm   472.57 um   606.68 um  
   1.50 MeV   1.046E+00  1.043E-03    7.95 mm   482.85 um   621.11 um  
   1.60 MeV   1.016E+00  9.882E-04    8.49 mm   493.42 um   635.84 um  
   1.70 MeV   9.876E-01  9.395E-04    9.06 mm   504.29 um   650.89 um  
   1.80 MeV   9.608E-01  8.956E-04    9.64 mm   515.46 um   666.30 um  
   2.00 MeV   9.115E-01  8.198E-04   10.85 mm   552.00 um   698.26 um  
   2.25 MeV   8.572E-01  7.424E-04   12.45 mm   607.70 um   740.50 um  
   2.50 MeV   8.096E-01  6.792E-04   14.15 mm   664.76 um   785.40 um  
   2.75 MeV   7.676E-01  6.265E-04   15.94 mm   723.18 um   833.03 um  
   3.00 MeV   7.303E-01  5.819E-04   17.83 mm   782.91 um   883.42 um  
   3.25 MeV   6.970E-01  5.436E-04   19.82 mm   843.93 um   936.56 um  
   3.50 MeV   6.670E-01  5.103E-04   21.89 mm   906.20 um   992.42 um  
   3.75 MeV   6.398E-01  4.811E-04   24.06 mm   969.67 um     1.05 mm  
   4.00 MeV   6.150E-01  4.552E-04   26.32 mm     1.03 mm     1.11 mm  
   4.50 MeV   5.717E-01  4.115E-04   31.10 mm     1.26 mm     1.24 mm  
   5.00 MeV   5.348E-01  3.758E-04   36.22 mm     1.48 mm     1.38 mm  
   5.50 MeV   5.030E-01  3.462E-04   41.69 mm     1.69 mm     1.53 mm  
   6.00 MeV   4.754E-01  3.211E-04   47.48 mm     1.91 mm     1.69 mm  
   6.50 MeV   4.510E-01  2.996E-04   53.60 mm     2.12 mm     1.86 mm  
   7.00 MeV   4.293E-01  2.810E-04   60.04 mm     2.34 mm     2.03 mm  
   8.00 MeV   3.925E-01  2.502E-04   73.86 mm     3.10 mm     2.41 mm  
   9.00 MeV   3.651E-01  2.258E-04   88.84 mm     3.81 mm     2.82 mm  
  10.00 MeV   3.391E-01  2.060E-04  104.95 mm     4.49 mm     3.25 mm  
  11.00 MeV   3.176E-01  1.895E-04  122.24 mm     5.17 mm     3.72 mm  
  12.00 MeV   2.990E-01  1.756E-04  140.64 mm     5.85 mm     4.21 mm  
  13.00 MeV   2.827E-01  1.637E-04  160.15 mm     6.53 mm     4.73 mm  
  14.00 MeV   2.683E-01  1.534E-04  180.74 mm     7.22 mm     5.27 mm  
  15.00 MeV   2.555E-01  1.444E-04  202.40 mm     7.92 mm     5.84 mm  
  16.00 MeV   2.440E-01  1.364E-04  225.12 mm     8.62 mm     6.43 mm  
  17.00 MeV   2.335E-01  1.293E-04  248.88 mm     9.33 mm     7.05 mm  
  18.00 MeV   2.241E-01  1.229E-04  273.67 mm    10.05 mm     7.69 mm  
  20.00 MeV   2.076E-01  1.120E-04  326.28 mm    12.66 mm     9.04 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7599E-02                eV/Angstrom 
  1.7599E-01                keV/micron   
  1.7599E-01                MeV/mm       
  1.0000E+00                keV/(ug/cm2) 
  1.0000E+00                MeV/(mg/cm2) 
  1.0000E+03                keV/(mg/cm2) 
  6.0686E+01                 eV/(1E15 atoms/cm2)
  6.2488E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
