 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       1.0964     
  0.87265       1.0893     
   1.7453       1.0856     
   2.6180       1.0827     
   3.4906       1.0807     
   4.3633       1.0795     
   5.2359       1.0792     
   6.1086       1.0798     
   6.9812       1.0813     
   7.8539       1.0836     
   8.7265       1.0868     
   9.5992       1.0909     
   10.472       1.0958     
   11.344       1.0971     
   12.217       1.0940     
   13.090       1.0888     
   13.962       1.0845     
   14.835       1.0810     
   15.708       1.0784     
   16.580       1.0767     
   17.453       1.0759     
   18.326       1.0759     
   19.198       1.0769     
   20.071       1.0787     
   20.944       1.0814     
   21.816       1.0835     
   22.689       1.0786     
   23.562       1.0730     
   24.434       1.0683     
   25.307       1.0643     
   26.180       1.0611     
   27.052       1.0587     
   27.925       1.0588     
   28.798       1.0635     
   29.670       1.0696     
   30.543       1.0772     
   31.416       1.0860     
   32.288       1.0842     
   33.161       1.0835     
   34.033       1.0852     
   34.906       1.0881     
   35.779       1.0921     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   36.651       1.0973     
   37.524       1.1036     
   38.397       1.1111     
   39.269       1.1197     
   40.142       1.1294     
   41.015       1.1232     
   41.887       1.1118     
   42.760       1.1019     
   43.633       1.0934     
   44.505       1.0885     
   45.378       1.0891     
   46.251       1.0907     
   47.123       1.0931     
   47.996       1.0964     
   48.869       1.1006     
   49.741       1.1056     
   50.614       1.1032     
   51.487       1.0945     
   52.359       1.0866     
   53.232       1.0797     
   54.105       1.0737     
   54.977       1.0686     
   55.850       1.0644     
   56.722       1.0622     
   57.595       1.0690     
   58.468       1.0773     
   59.340       1.0777     
   60.213       1.0699     
   61.086       1.0632     
   61.958       1.0577     
   62.831       1.0533     
   63.704       1.0506     
   64.576       1.0526     
   65.449       1.0554     
   66.322       1.0584     
   67.194       1.0527     
   68.067       1.0504     
   68.940       1.0492     
   69.812       1.0490     
   70.685       1.0497     
   71.558       1.0514     
   72.430       1.0541     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   73.303       1.0508     
   74.176       1.0466     
   75.048       1.0433     
   75.921       1.0414     
   76.794       1.0406     
   77.666       1.0409     
   78.539       1.0419     
   79.411       1.0372     
   80.284       1.0333     
   81.157       1.0302     
   82.029       1.0280     
   82.902       1.0259     
   83.775       1.0248     
   84.647       1.0248     
   85.520       1.0259     
   86.393       1.0226     
   87.265       1.0190     
   88.138       1.0162     
   89.011       1.0142     
   89.883       1.0114     
   90.756       1.0087     
   91.629       1.0071     
   92.501       1.0065     
   93.374       1.0027     
   94.247      0.99961     
   95.119      0.99735     
   95.992      0.99476     
   96.865      0.99080     
   97.737      0.98785     
   98.610      0.98594     
   99.483      0.98271     
   100.36      0.97954     
   101.23      0.97712     
   102.10      0.97341     
   102.97      0.96906     
   103.85      0.96566     
   104.72      0.96294     
   105.59      0.95986     
   106.46      0.95749     
   107.34      0.95401     
   108.21      0.94808     
   109.08      0.94300     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   109.95      0.93876     
   110.83      0.93614     
   111.70      0.93423     
   112.57      0.92846     
   113.44      0.92305     
   114.32      0.91837     
   115.19      0.91441     
   116.06      0.91232     
   116.94      0.90659     
   117.81      0.90146     
   118.68      0.89693     
   119.55      0.89381     
   120.43      0.88938     
   121.30      0.88550     
   122.17      0.88222     
   123.04      0.87956     
   123.92      0.87300     
   124.79      0.86906     
   125.66      0.86590     
   126.53      0.86178     
   127.41      0.85542     
   128.28      0.85193     
   129.15      0.84904     
   130.03      0.84318     
   130.90      0.83844     
   131.77      0.83614     
   132.64      0.83112     
   133.52      0.82641     
   134.39      0.82459     
   135.26      0.82071     
   136.13      0.81746     
   137.01      0.81653     
   137.88      0.81436     
   138.75      0.81486     
   139.62      0.81525     
   140.50      0.81653     
   141.37      0.82199     
   142.24      0.82743     
   143.12      0.83868     
   143.99      0.85220     
   144.86      0.87187     
   145.73      0.89824     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   146.61      0.93533     
   147.48      0.98236     
   148.35       1.0494     
   149.22       1.1299     
   150.10       1.2553     
   150.97       1.4100     
   151.84       1.6248     
   152.71       1.9430     
   153.59       2.4374     
   154.46     
   155.33      0.97189E-002
   156.20      0.12453E-001
   157.08     
