 

 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   0.0000       30.538     
  0.17453       30.218     
  0.34906       29.940     
  0.52359       29.820     
  0.69812       29.735     
  0.87265       29.679     
   1.0472       29.652     
   1.2217       29.654     
   1.3962       29.685     
   1.5708       29.747     
   1.7453       29.838     
   1.9198       29.959     
   2.0944       30.109     
   2.2689       30.290     
   2.4434       30.499     
   2.6180       30.738     
   2.7925       30.637     
   2.9670       30.409     
   3.1416       30.210     
   3.3161       30.041     
   3.4906       29.902     
   3.6651       29.793     
   3.8397       29.713     
   4.0142       29.663     
   4.1887       29.643     
   4.3633       29.652     
   4.5378       29.690     
   4.7123       29.757     
   4.8869       29.852     
   5.0614       29.938     
   5.2359       30.054     
   5.4105       30.205     
   5.5850       30.338     
   5.7595       30.210     
   5.9340       30.111     
   6.1086       30.041     
   6.2831       30.001     
   6.4576       29.989     
   6.6322       30.007     
   6.8067       30.054     
   6.9812       30.130     
   7.1558       30.235     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   7.3303       30.207     
   7.5048       30.094     
   7.6794       30.012     
   7.8539       29.963     
   8.0284       29.946     
   8.2029       29.961     
   8.3775       30.008     
   8.5520       30.087     
   8.7265       30.152     
   8.9011       30.237     
   9.0756       30.147     
   9.2501       29.983     
   9.4247       29.842     
   9.5992       29.726     
   9.7737       29.633     
   9.9483       29.565     
   10.123       29.521     
   10.297       29.634     
   10.472       29.826     
   10.646       30.050     
   10.821       30.230     
   10.995       30.156     
   11.170       30.071     
   11.344       30.016     
   11.519       29.992     
   11.694       29.997     
   11.868       30.032     
   12.043       30.096     
   12.217       30.190     
   12.392       30.306     
   12.566       30.427     
   12.741       30.593     
   12.915       30.603     
   13.090       30.471     
   13.264       30.369     
   13.439       30.295     
   13.613       30.250     
   13.788       30.233     
   13.962       30.245     
   14.137       30.286     
   14.312       30.341     
   14.486       30.415     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   14.661       30.534     
   14.835       30.695     
   15.010       30.581     
   15.184       30.493     
   15.359       30.433     
   15.533       30.402     
   15.708       30.399     
   15.882       30.424     
   16.057       30.477     
   16.231       30.439     
   16.406       30.443     
   16.580       30.489     
   16.755       30.576     
   16.929       30.566     
   17.104       30.533     
   17.279       30.527     
   17.453       30.547     
   17.628       30.576     
   17.802       30.462     
   17.977       30.385     
   18.151       30.346     
   18.326       30.345     
   18.500       30.381     
   18.675       30.398     
   18.849       30.385     
   19.024       30.346     
   19.198       30.191     
   19.373       30.070     
   19.547       29.984     
   19.722       29.931     
   19.897       29.913     
   20.071       29.929     
   20.246       29.885     
   20.420       29.815     
   20.595       29.836     
   20.769       29.898     
   20.944       29.999     
   21.118       30.141     
   21.293       30.322     
   21.467       30.341     
   21.642       30.324     
   21.816       30.286     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   21.991       30.287     
   22.165       30.328     
   22.340       30.409     
   22.514       30.417     
   22.689       30.435     
   22.864       30.411     
   23.038       30.346     
   23.213       30.324     
   23.387       30.344     
   23.562       30.341     
   23.736       30.411     
   23.911       30.375     
   24.085       30.315     
   24.260       30.304     
   24.434       30.299     
   24.609       30.362     
   24.783       30.366     
   24.958       30.360     
   25.132       30.379     
   25.307       30.419     
   25.481       30.520     
   25.656       30.579     
   25.831       30.653     
   26.005       30.796     
   26.180       30.982     
   26.354       31.144     
   26.529       31.393     
   26.703       31.733     
   26.878       32.043     
   27.052       32.500     
   27.227       33.025     
   27.401       33.637     
   27.576       34.425     
   27.750       35.245     
   27.925       36.327     
   28.099       37.496     
   28.274       38.970     
   28.449       40.674     
   28.623       42.572     
   28.798       45.015     
   28.972       47.514     
   29.147       50.999     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            EFSUM   
   29.321       54.472     
   29.496       59.494     
   29.670       64.641     
   29.845       72.042     
   30.019       80.012     
   30.194       92.307     
   30.368       106.05     
   30.543     
   30.717     
   30.892       2367.7     
   31.066       2981.2     
   31.241       3988.1     
   31.416     
