 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Nitrogen (gas).txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.1480E-03 g/cm3 = 4.9356E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = -1.55%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
549.999 eV    7.629E-02  1.457E-01   11.12 um     9.05 um     6.69 um  
599.999 eV    7.968E-02  1.454E-01   12.03 um     9.69 um     7.13 um  
649.999 eV    8.294E-02  1.450E-01   12.93 um    10.28 um     7.60 um  
699.999 eV    8.607E-02  1.444E-01   13.84 um    10.88 um     8.04 um  
799.999 eV    9.201E-02  1.430E-01   15.66 um    12.04 um     8.93 um  
899.999 eV    9.759E-02  1.414E-01   17.48 um    13.19 um     9.80 um  
999.999 eV    1.029E-01  1.397E-01   19.31 um    14.32 um    10.65 um  
   1.10 keV   1.079E-01  1.379E-01   21.15 um    15.42 um    11.49 um  
   1.20 keV   1.127E-01  1.360E-01   23.00 um    16.51 um    12.32 um  
   1.30 keV   1.173E-01  1.342E-01   24.85 um    17.58 um    13.14 um  
   1.40 keV   1.217E-01  1.323E-01   26.71 um    18.63 um    13.95 um  
   1.50 keV   1.260E-01  1.305E-01   28.57 um    19.66 um    14.75 um  
   1.60 keV   1.301E-01  1.287E-01   30.44 um    20.68 um    15.55 um  
   1.70 keV   1.341E-01  1.269E-01   32.32 um    21.68 um    16.33 um  
   1.80 keV   1.380E-01  1.252E-01   34.20 um    22.67 um    17.11 um  
   2.00 keV   1.455E-01  1.219E-01   37.98 um    24.59 um    18.66 um  
   2.25 keV   1.543E-01  1.180E-01   42.73 um    26.91 um    20.56 um  
   2.50 keV   1.627E-01  1.143E-01   47.49 um    29.17 um    22.42 um  
   2.75 keV   1.706E-01  1.108E-01   52.27 um    31.36 um    24.24 um  
   3.00 keV   1.782E-01  1.076E-01   57.05 um    33.48 um    26.03 um  
   3.25 keV   1.855E-01  1.046E-01   61.83 um    35.54 um    27.78 um  
   3.50 keV   1.925E-01  1.018E-01   66.62 um    37.54 um    29.50 um  
   3.75 keV   1.992E-01  9.914E-02   71.40 um    39.48 um    31.19 um  
   4.00 keV   2.057E-01  9.664E-02   76.18 um    41.36 um    32.86 um  
   4.50 keV   2.182E-01  9.206E-02   85.73 um    44.95 um    36.11 um  
   5.00 keV   2.300E-01  8.796E-02   95.23 um    48.37 um    39.24 um  
   5.50 keV   2.413E-01  8.427E-02  104.68 um    51.61 um    42.28 um  
   6.00 keV   2.520E-01  8.092E-02  114.08 um    54.69 um    45.21 um  
   6.50 keV   2.623E-01  7.788E-02  123.40 um    57.63 um    48.06 um  
   7.00 keV   2.722E-01  7.509E-02  132.66 um    60.43 um    50.81 um  
   8.00 keV   2.910E-01  7.017E-02  150.98 um    65.65 um    56.09 um  
   9.00 keV   3.086E-01  6.595E-02  168.99 um    70.45 um    61.06 um  
  10.00 keV   3.252E-01  6.228E-02  186.71 um    74.88 um    65.77 um  
  11.00 keV   3.410E-01  5.906E-02  204.13 um    78.98 um    70.22 um  
  12.00 keV   3.562E-01  5.621E-02  221.26 um    82.79 um    74.45 um  
  13.00 keV   3.707E-01  5.366E-02  238.10 um    86.34 um    78.48 um  
  14.00 keV   3.846E-01  5.136E-02  254.66 um    89.67 um    82.32 um  
  15.00 keV   3.981E-01  4.928E-02  270.96 um    92.79 um    85.99 um  
  16.00 keV   4.111E-01  4.739E-02  287.00 um    95.72 um    89.50 um  
  17.00 keV   4.237E-01  4.566E-02  302.79 um    98.48 um    92.86 um  
  18.00 keV   4.360E-01  4.407E-02  318.34 um   101.09 um    96.09 um  
  20.00 keV   4.595E-01  4.124E-02  348.77 um   105.93 um   102.18 um  
  22.50 keV   4.873E-01  3.824E-02  385.60 um   111.34 um   109.18 um  
  25.00 keV   5.136E-01  3.570E-02  421.22 um   116.14 um   115.60 um  
  27.50 keV   5.385E-01  3.351E-02  455.72 um   120.46 um   121.52 um  
