Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
Primary ,Gas,neutronInelastic,2112.000000,12.205713,-0.751612,-2.982565,0.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205742,-0.751610,-2.982561,1.000000,0.000019
Secondary ,Gas,ionIoni,1000050110.000000,12.205755,-0.751609,-2.982560,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205761,-0.751609,-2.982559,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205776,-0.751608,-2.982557,1.000000,0.000003
Secondary ,Gas,ionIoni,1000050110.000000,12.205792,-0.751606,-2.982555,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205794,-0.751606,-2.982555,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205799,-0.751606,-2.982555,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205799,-0.751606,-2.982555,1.000000,0.000001
Secondary ,Gas,ionIoni,1000050110.000000,12.205822,-0.751604,-2.982552,1.000000,0.000041
Secondary ,Gas,ionIoni,1000050110.000000,12.205832,-0.751604,-2.982551,1.000000,0.000028
Secondary ,Gas,ionIoni,1000050110.000000,12.205858,-0.751602,-2.982548,1.000000,0.000199
Secondary ,Gas,ionIoni,1000050110.000000,12.205888,-0.751600,-2.982544,1.000000,0.000120
Secondary ,Gas,ionIoni,1000050110.000000,12.205895,-0.751599,-2.982543,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205923,-0.751597,-2.982540,1.000000,0.000001
Secondary ,Gas,ionIoni,1000050110.000000,12.205926,-0.751597,-2.982540,1.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,12.205956,-0.751595,-2.982536,1.000000,0.000001
Secondary ,Gas,ionIoni,1000050110.000000,12.205958,-0.751595,-2.982536,1.000000,0.000000
