Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
Primary ,Cathode,hadElastic,2112.000000,15.753929,-0.157877,1.312788,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.753929,-0.157877,1.312788,1.000000,0.021599
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Cathode,hadElastic,2112.000000,15.429579,0.203790,2.103708,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.128834,0.280210,1.908390,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.122424,0.280215,1.908225,0.000000,0.000000
Primary ,Gas,neutronInelastic,2112.000000,11.138569,0.399817,1.310804,0.000000,0.000000
Secondary ,Gas,ionIoni,1000060140.000000,11.138620,0.399816,1.310795,1.000000,0.000235
Secondary ,Gas,ionIoni,1000060140.000000,11.138636,0.399815,1.310792,1.000000,0.000014
Secondary ,Gas,ionIoni,1000060140.000000,11.138683,0.399814,1.310784,1.000000,0.000110
Secondary ,Gas,ionIoni,1000060140.000000,11.138716,0.399813,1.310778,1.000000,0.000527
Secondary ,Gas,ionIoni,1000060140.000000,11.138747,0.399812,1.310773,1.000000,0.000135
Secondary ,Gas,ionIoni,1000060140.000000,11.138755,0.399812,1.310772,1.000000,0.000036
Secondary ,Gas,ionIoni,1000060140.000000,11.138794,0.399811,1.310765,1.000000,0.000495
Secondary ,Gas,ionIoni,1000060140.000000,11.138808,0.399810,1.310763,1.000000,0.000005
Secondary ,Gas,ionIoni,1000060140.000000,11.138902,0.399808,1.310747,1.000000,0.000541
Secondary ,Gas,ionIoni,1000060140.000000,11.138984,0.399805,1.310733,1.000000,0.000718
Secondary ,Gas,ionIoni,1000060140.000000,11.139005,0.399805,1.310730,1.000000,0.000235
Secondary ,Gas,ionIoni,1000060140.000000,11.139039,0.399804,1.310724,1.000000,0.000078
