Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,hadElastic,2112.000000,15.446477,-0.113275,0.610458,0.000000,0.000000
Primary ,Cathode,neutronInelastic,2112.000000,15.022849,0.162158,0.140763,0.000000,0.000000
Secondary ,Cathode,conv,22.000000,15.075170,0.159611,0.138360,1.000000,0.000000
Secondary ,Cathode,eIoni,-11.000000,15.075193,0.159603,0.138361,6.000000,0.000341
Secondary ,Cathode,eIoni,-11.000000,15.075211,0.159596,0.138361,6.000000,0.000501
Secondary ,Cathode,eIoni,-11.000000,15.075229,0.159589,0.138362,6.000000,0.000371
Secondary ,Cathode,msc,-11.000000,15.075230,0.159589,0.138362,6.000000,0.000002
Secondary ,Cathode,eIoni,-11.000000,15.075233,0.159588,0.138362,6.000000,0.000005
Secondary ,Cathode,eIoni,-11.000000,15.075247,0.159583,0.138362,6.000000,0.000131
Secondary ,Cathode,eIoni,-11.000000,15.075258,0.159579,0.138363,6.000000,0.000368
Secondary ,Cathode,eIoni,-11.000000,15.075269,0.159574,0.138363,6.000000,0.000510
Secondary ,Cathode,eIoni,-11.000000,15.075277,0.159571,0.138363,6.000000,0.000237
Secondary ,Cathode,eIoni,-11.000000,15.075339,0.159554,0.138361,6.000000,0.000608
Secondary ,Cathode,eIoni,-11.000000,15.075352,0.159551,0.138361,6.000000,0.000079
Secondary ,Cathode,eIoni,-11.000000,15.075367,0.159548,0.138361,6.000000,0.000102
Secondary ,Cathode,msc,-11.000000,15.075367,0.159548,0.138361,6.000000,0.000000
Secondary ,Cathode,eIoni,-11.000000,15.075369,0.159548,0.138361,6.000000,0.000116
Secondary ,Cathode,msc,-11.000000,15.075372,0.159547,0.138361,6.000000,0.000140
Secondary ,Cathode,eIoni,-11.000000,15.075373,0.159547,0.138361,6.000000,0.000126
Secondary ,Cathode,eIoni,-11.000000,15.075389,0.159544,0.138360,6.000000,0.000266
Secondary ,Cathode,eIoni,-11.000000,15.075407,0.159540,0.138360,6.000000,0.000145
Secondary ,Cathode,msc,-11.000000,15.075412,0.159539,0.138359,6.000000,0.000002
