Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
Primary ,Cathode,hadElastic,2112.000000,15.990632,0.280600,-1.155721,0.000000,0.000000
Primary ,Gas,neutronInelastic,2112.000000,13.563592,-0.369844,-0.195381,0.000000,0.000000
Secondary ,Gas,phot,22.000000,14.097690,-0.382206,-0.210296,1.000000,0.000046
Secondary ,Cathode,conv,22.000000,15.617373,0.177507,-1.514182,1.000000,0.000000
Secondary ,Cathode,eIoni,-11.000000,15.617409,0.177508,-1.514184,5.000000,0.000215
Secondary ,Cathode,eIoni,-11.000000,15.617430,0.177508,-1.514184,5.000000,0.000028
Secondary ,Cathode,eIoni,-11.000000,15.617495,0.177509,-1.514187,5.000000,0.000171
Secondary ,Cathode,eIoni,-11.000000,15.617504,0.177509,-1.514187,5.000000,0.000147
Secondary ,Cathode,eIoni,-11.000000,15.617528,0.177509,-1.514188,5.000000,0.000045
Secondary ,Cathode,eIoni,-11.000000,15.617608,0.177510,-1.514192,5.000000,0.000181
Secondary ,Cathode,eIoni,-11.000000,15.617693,0.177511,-1.514196,5.000000,0.000438
Secondary ,Cathode,eIoni,-11.000000,15.617768,0.177512,-1.514199,5.000000,0.000471
Secondary ,Cathode,eIoni,-11.000000,15.618064,0.177516,-1.514212,5.000000,0.000800
Secondary ,Cathode,eIoni,-11.000000,15.618091,0.177516,-1.514213,5.000000,0.000000
Secondary ,Cathode,eIoni,-11.000000,15.618155,0.177516,-1.514215,5.000000,0.000040
Secondary ,Cathode,eIoni,-11.000000,15.618275,0.177516,-1.514219,5.000000,0.000351
Secondary ,Cathode,eIoni,-11.000000,15.618303,0.177517,-1.514220,5.000000,0.000024
Secondary ,Cathode,eIoni,-11.000000,15.618335,0.177517,-1.514222,5.000000,0.000064
Secondary ,Cathode,eIoni,-11.000000,15.618386,0.177517,-1.514224,5.000000,0.000138
Secondary ,Cathode,eIoni,-11.000000,15.618388,0.177517,-1.514224,5.000000,0.000030
Secondary ,Cathode,eIoni,-11.000000,15.618467,0.177517,-1.514227,5.000000,0.000180
