Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
Primary ,Cathode,hadElastic,2112.000000,15.989085,-0.627944,2.324704,0.000000,0.000000
Primary ,Cathode,neutronInelastic,2112.000000,15.267909,-0.632844,2.508962,0.000000,0.000000
Secondary ,Cathode,compt,22.000000,15.149288,-0.623847,2.510026,1.000000,0.000056
Secondary ,Cathode,phot,22.000000,15.138656,-0.624251,2.507764,6.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138663,-0.624251,2.507766,6.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.138663,-0.624251,2.507766,25.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138656,-0.624251,2.507765,6.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.138656,-0.624251,2.507765,30.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.138657,-0.624251,2.507765,35.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138657,-0.624251,2.507765,30.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.138650,-0.624251,2.507765,30.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.138656,-0.624251,2.507765,29.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138652,-0.624250,2.507765,29.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138646,-0.624253,2.507771,6.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.138593,-0.624252,2.507764,6.000000,0.000064
Secondary ,Cathode,phot,22.000000,15.138593,-0.624252,2.507764,52.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138689,-0.624255,2.507757,50.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.138689,-0.624255,2.507757,59.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.138715,-0.624256,2.507757,50.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.138714,-0.624256,2.507757,63.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.138780,-0.624233,2.507756,6.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.138783,-0.624234,2.507756,68.000000,0.000025
