Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,neutronInelastic,2112.000000,15.548335,0.328232,1.984902,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.548336,0.328232,1.984902,1.000000,0.056386
Secondary ,Cathode,compt,22.000000,15.331049,-0.036909,1.955321,1.000000,0.000028
Secondary ,Cathode,compt,22.000000,15.324021,-0.035251,1.956003,1.000000,0.000000
Secondary ,Cathode,compt,22.000000,15.383831,-0.042875,1.955218,1.000000,0.000038
Secondary ,Cathode,compt,22.000000,15.326993,-0.039031,1.947170,1.000000,0.000051
Secondary ,Cathode,compt,22.000000,15.484765,-0.029341,1.954467,1.000000,0.000009
Secondary ,Cathode,phot,22.000000,15.480317,-0.030688,1.957032,1.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.480317,-0.030688,1.957032,28.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.480320,-0.030688,1.957032,28.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.480318,-0.030688,1.957033,33.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.480318,-0.030688,1.957033,36.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.477091,-0.030477,1.956915,10.000000,0.000058
Secondary ,Cathode,phot,22.000000,15.477090,-0.030477,1.956915,44.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.477092,-0.030477,1.956914,43.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.477191,-0.030493,1.956927,41.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.477179,-0.030492,1.956927,41.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.477178,-0.030492,1.956926,41.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.477183,-0.030492,1.956926,41.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.477169,-0.030491,1.956932,41.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.477164,-0.030491,1.956932,69.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.477159,-0.030491,1.956932,71.000000,0.000013
