Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,neutronInelastic,2112.000000,15.964962,0.417470,2.018915,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.964962,0.417470,2.018915,1.000000,0.060499
Secondary ,Cathode,hadElastic,2112.000000,15.789490,0.415011,2.028286,1.000000,0.000000
Secondary ,Cathode,ionIoni,1000280600.000000,15.789490,0.415011,2.028286,2.000000,0.065758
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
Primary ,Cathode,hadElastic,2112.000000,15.152656,-0.598489,1.464081,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.759249,-0.527012,1.394804,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.912611,-0.368315,1.482922,0.000000,0.000000
Primary ,Cathode,neutronInelastic,2112.000000,15.931358,-0.368914,1.484033,0.000000,0.000000
Secondary ,Cathode,compt,22.000000,15.895938,-0.367945,1.482002,1.000000,0.000032
Secondary ,Cathode,compt,22.000000,15.645079,-0.365991,1.489774,1.000000,0.000056
Secondary ,Cathode,phot,22.000000,15.702803,-0.365312,1.489599,14.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.702802,-0.365313,1.489599,43.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.702804,-0.365313,1.489599,43.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.702803,-0.365312,1.489599,43.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.702806,-0.365312,1.489599,42.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.702817,-0.365312,1.489599,14.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.702817,-0.365312,1.489599,57.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.702817,-0.365312,1.489599,57.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.702819,-0.365312,1.489599,57.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.702929,-0.365307,1.489613,14.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.702889,-0.365302,1.489615,14.000000,0.000025
