Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,neutronInelastic,2112.000000,15.636538,0.934746,-2.221939,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.636538,0.934746,-2.221939,1.000000,0.099776
Secondary ,Cathode,compt,22.000000,15.530143,0.941915,-2.261931,1.000000,0.000026
Secondary ,Cathode,compt,22.000000,15.568112,0.940842,-2.260359,1.000000,0.000038
Secondary ,Cathode,compt,22.000000,15.823419,0.920490,-2.299896,1.000000,0.000009
Secondary ,Cathode,compt,22.000000,15.767010,0.923020,-2.332445,1.000000,0.000084
Secondary ,Cathode,compt,22.000000,15.787959,0.922518,-2.324621,1.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.975245,0.918006,-2.353249,1.000000,0.000097
Secondary ,Cathode,phot,22.000000,15.975219,0.918005,-2.353239,26.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.975251,0.918006,-2.353251,26.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.975263,0.918007,-2.353251,33.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.975225,0.918004,-2.353259,25.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.975240,0.918005,-2.353260,25.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.975218,0.918005,-2.353254,42.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.974837,0.918000,-2.353268,24.000000,0.000023
Secondary ,Cathode,phot,22.000000,15.974860,0.918000,-2.353271,24.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.974840,0.917998,-2.353270,59.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.974840,0.917998,-2.353270,59.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.974878,0.917999,-2.353263,24.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.974876,0.917999,-2.353263,65.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.974846,0.917999,-2.353249,24.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.974851,0.917999,-2.353239,69.000000,0.000026
