Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
Primary ,Cathode,neutronInelastic,2112.000000,15.548538,-0.779585,-0.308478,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.548540,-0.779585,-0.308478,1.000000,0.274480
Secondary ,Cathode,compt,22.000000,15.515104,-0.781224,-0.311941,1.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.494576,-0.783119,-0.301582,11.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494575,-0.783119,-0.301583,11.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.494584,-0.783118,-0.301582,11.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.494583,-0.783118,-0.301582,30.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494585,-0.783118,-0.301582,30.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494585,-0.783118,-0.301582,35.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.492740,-0.783176,-0.301618,11.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.492739,-0.783176,-0.301619,42.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.492748,-0.783176,-0.301619,42.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.492751,-0.783176,-0.301619,47.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.493425,-0.783205,-0.301536,24.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.493417,-0.783205,-0.301535,51.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.493426,-0.783205,-0.301536,51.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.493425,-0.783205,-0.301536,51.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494055,-0.783170,-0.301549,50.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494053,-0.783170,-0.301549,68.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494060,-0.783170,-0.301549,50.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.494060,-0.783170,-0.301549,50.000000,0.000013
