Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Primary ,Cathode,hadElastic,2112.000000,15.347110,0.765212,-2.360889,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.035142,0.764852,-2.452333,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.035143,0.764852,-2.452333,1.000000,0.104675
Secondary ,Cathode,ionIoni,1000260540.000000,15.347110,0.765212,-2.360889,1.000000,0.016580
================= EVENT 2 =================
Primary ,Cathode,hadElastic,2112.000000,15.109146,-0.339285,2.920214,0.000000,0.000000
Primary ,Cathode,neutronInelastic,2112.000000,15.685097,-0.336929,2.909546,0.000000,0.000000
Secondary ,Cathode,compt,22.000000,15.813534,-0.344090,2.907173,1.000000,0.000064
Secondary ,Cathode,compt,22.000000,15.127106,-0.436962,2.725893,1.000000,0.000026
Secondary ,Cathode,compt,22.000000,15.047233,-0.432581,2.725825,1.000000,0.000071
Secondary ,Cathode,phot,22.000000,15.072197,-0.888909,3.078754,1.000000,0.000090
Secondary ,Cathode,phot,22.000000,15.072181,-0.888908,3.078761,22.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.072182,-0.888908,3.078761,28.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.072182,-0.888908,3.078761,22.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.072182,-0.888908,3.078761,31.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.072208,-0.888909,3.078753,21.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.073048,-0.888916,3.078717,20.000000,0.000041
Secondary ,Cathode,phot,22.000000,15.073072,-0.888915,3.078719,46.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.073003,-0.888917,3.078714,45.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.073010,-0.888917,3.078714,54.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.073004,-0.888917,3.078714,54.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.073065,-0.888915,3.078727,20.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.073062,-0.888915,3.078726,61.000000,0.000013
