Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
Primary ,Gas,neutronInelastic,2112.000000,12.774130,0.538765,-2.515211,0.000000,0.000000
Secondary ,Gas,phot,22.000000,12.961347,0.548801,-2.507481,1.000000,0.000023
Secondary ,Cathode,compt,22.000000,15.221661,0.448643,-2.480803,1.000000,0.000103
Secondary ,Cathode,phot,22.000000,15.284814,0.448034,-2.456837,26.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.284813,0.448035,-2.456838,58.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.284813,0.448035,-2.456837,62.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.284812,0.448035,-2.456837,66.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.284814,0.448035,-2.456837,58.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.284814,0.448035,-2.456837,69.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.284721,0.448034,-2.456837,57.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.284724,0.448034,-2.456837,57.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.284732,0.448034,-2.456838,57.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.284724,0.448034,-2.456837,57.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.284723,0.448034,-2.456837,83.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.284723,0.448034,-2.456837,57.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.284723,0.448034,-2.456837,57.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.284793,0.448036,-2.456841,26.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.284776,0.448035,-2.456842,92.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.284776,0.448035,-2.456842,95.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.284792,0.448036,-2.456841,90.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.284790,0.448034,-2.456842,90.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.284768,0.448035,-2.456843,104.000000,0.000020
