Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary ,Cathode,phot,22.000000,15.324754,0.610849,3.011384,208.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324769,0.610849,3.011384,208.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324768,0.610849,3.011384,206.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324768,0.610849,3.011384,206.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324767,0.610848,3.011385,206.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.324786,0.610848,3.011384,222.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324762,0.610848,3.011385,222.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324786,0.610851,3.011382,182.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324698,0.610853,3.011376,182.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324659,0.610855,3.011382,182.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324660,0.610855,3.011382,234.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324669,0.610854,3.011378,182.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324669,0.610854,3.011378,239.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324670,0.610854,3.011378,239.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324670,0.610854,3.011378,243.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324665,0.610854,3.011378,238.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.324662,0.610854,3.011377,248.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324661,0.610854,3.011377,252.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324670,0.610854,3.011378,238.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324583,0.610854,3.011366,182.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324431,0.610856,3.011370,182.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.324469,0.610857,3.011335,181.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324470,0.610857,3.011335,268.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324464,0.610857,3.011335,181.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324434,0.610856,3.011336,181.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324432,0.610856,3.011336,273.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324470,0.610856,3.011336,181.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324473,0.610856,3.011335,278.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324473,0.610856,3.011335,282.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324466,0.610859,3.011338,181.000000,0.000013
