Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
Primary ,Cathode,hadElastic,2112.000000,15.277031,0.506114,-0.820141,0.000000,0.000000
Primary ,Gas,neutronInelastic,2112.000000,14.863264,0.488666,-0.780645,0.000000,0.000000
Secondary ,Gas,ionIoni,1000060140.000000,14.863241,0.488667,-0.780638,1.000000,0.000865
Secondary ,Gas,ionIoni,1000060140.000000,14.863167,0.488669,-0.780615,1.000000,0.000089
Secondary ,Gas,ionIoni,1000060140.000000,14.863165,0.488669,-0.780614,1.000000,0.000011
Secondary ,Gas,ionIoni,1000060140.000000,14.863099,0.488671,-0.780593,1.000000,0.000318
Secondary ,Gas,ionIoni,1000060140.000000,14.863043,0.488672,-0.780575,1.000000,0.000541
Secondary ,Gas,ionIoni,1000060140.000000,14.863019,0.488673,-0.780567,1.000000,0.000428
Secondary ,Gas,ionIoni,1000060140.000000,14.862999,0.488673,-0.780561,1.000000,0.000256
Secondary ,Gas,ionIoni,1000060140.000000,14.862947,0.488675,-0.780545,1.000000,0.000422
Secondary ,Gas,ionIoni,1000060140.000000,14.862926,0.488675,-0.780538,1.000000,0.000553
Secondary ,Gas,ionIoni,1000060140.000000,14.862768,0.488680,-0.780486,1.000000,0.004041
Secondary ,Gas,ionIoni,1000060140.000000,14.862766,0.488680,-0.780486,1.000000,0.000001
Secondary ,Gas,ionIoni,1000060140.000000,14.862763,0.488680,-0.780485,1.000000,0.000032
Secondary ,Gas,ionIoni,1000060140.000000,14.862697,0.488682,-0.780462,1.000000,0.001066
Secondary ,Gas,ionIoni,1000060140.000000,14.862508,0.488687,-0.780398,1.000000,0.005826
Secondary ,Gas,ionIoni,1000060140.000000,14.862308,0.488693,-0.780329,1.000000,0.001954
Secondary ,Gas,ionIoni,1000060140.000000,14.862197,0.488696,-0.780291,1.000000,0.002432
Secondary ,Gas,ionIoni,1000060140.000000,14.862060,0.488701,-0.780244,1.000000,0.002671
Secondary ,Gas,ionIoni,1000060140.000000,14.861913,0.488706,-0.780193,1.000000,0.004188
