Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.492116,0.286350,2.281398,1.000000,0.000008
Secondary ,Gas,ionIoni,1000070140.000000,9.492213,0.286337,2.281388,1.000000,0.001032
Secondary ,Gas,ionIoni,1000070140.000000,9.492221,0.286336,2.281387,1.000000,0.000044
Secondary ,Gas,ionIoni,1000070140.000000,9.492240,0.286333,2.281385,1.000000,0.000045
Secondary ,Gas,ionIoni,1000070140.000000,9.492283,0.286328,2.281380,1.000000,0.000394
Secondary ,Gas,ionIoni,1000070140.000000,9.492284,0.286328,2.281380,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.492293,0.286326,2.281379,1.000000,0.000191
Secondary ,Gas,ionIoni,1000070140.000000,9.492332,0.286321,2.281375,1.000000,0.000205
Secondary ,Gas,ionIoni,1000070140.000000,9.492346,0.286319,2.281374,1.000000,0.000098
Secondary ,Gas,ionIoni,1000070140.000000,9.492356,0.286318,2.281373,1.000000,0.000063
Secondary ,Gas,ionIoni,1000070140.000000,9.492372,0.286316,2.281371,1.000000,0.000164
Secondary ,Gas,ionIoni,1000070140.000000,9.492378,0.286315,2.281370,1.000000,0.000097
Secondary ,Gas,ionIoni,1000070140.000000,9.492393,0.286313,2.281369,1.000000,0.000098
Secondary ,Gas,ionIoni,1000070140.000000,9.492394,0.286313,2.281369,1.000000,0.000009
Secondary ,Gas,ionIoni,1000070140.000000,9.492403,0.286311,2.281368,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.492404,0.286311,2.281368,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.492408,0.286311,2.281367,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.492458,0.286304,2.281362,1.000000,0.000259
Secondary ,Gas,ionIoni,1000070140.000000,9.492522,0.286295,2.281355,1.000000,0.000183
Secondary ,Gas,ionIoni,1000070140.000000,9.492542,0.286293,2.281353,1.000000,0.000125
Secondary ,Gas,ionIoni,1000070140.000000,9.492559,0.286290,2.281351,1.000000,0.000046
Secondary ,Gas,ionIoni,1000070140.000000,9.492643,0.286279,2.281342,1.000000,0.000641
Secondary ,Gas,ionIoni,1000070140.000000,9.492664,0.286276,2.281340,1.000000,0.000159
Secondary ,Gas,ionIoni,1000070140.000000,9.492676,0.286274,2.281339,1.000000,0.000020
Secondary ,Gas,ionIoni,1000070140.000000,9.492684,0.286273,2.281338,1.000000,0.000229
Secondary ,Gas,ionIoni,1000070140.000000,9.492691,0.286272,2.281337,1.000000,0.000002
Secondary ,Gas,ionIoni,1000070140.000000,9.492730,0.286267,2.281333,1.000000,0.000231
Secondary ,Gas,ionIoni,1000070140.000000,9.492757,0.286264,2.281330,1.000000,0.000248
Secondary ,Gas,ionIoni,1000070140.000000,9.492758,0.286263,2.281330,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.492761,0.286263,2.281330,1.000000,0.000029
Secondary ,Gas,ionIoni,1000070140.000000,9.492808,0.286257,2.281325,1.000000,0.000267
Secondary ,Gas,ionIoni,1000070140.000000,9.492812,0.286256,2.281324,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.492819,0.286255,2.281323,1.000000,0.000002
Secondary ,Gas,ionIoni,1000070140.000000,9.492851,0.286251,2.281320,1.000000,0.000087
Secondary ,Gas,ionIoni,1000070140.000000,9.492872,0.286248,2.281318,1.000000,0.000009
Secondary ,Gas,ionIoni,1000070140.000000,9.492887,0.286246,2.281316,1.000000,0.000017
Secondary ,Gas,ionIoni,1000070140.000000,9.492900,0.286244,2.281315,1.000000,0.000113
Secondary ,Gas,ionIoni,1000070140.000000,9.492906,0.286243,2.281314,1.000000,0.000068
Secondary ,Gas,ionIoni,1000070140.000000,9.492919,0.286242,2.281313,1.000000,0.000070
Secondary ,Gas,ionIoni,1000070140.000000,9.492925,0.286241,2.281312,1.000000,0.000020
Secondary ,Gas,ionIoni,1000070140.000000,9.492932,0.286240,2.281311,1.000000,0.000093
Secondary ,Gas,ionIoni,1000070140.000000,9.492945,0.286238,2.281310,1.000000,0.000015
Secondary ,Gas,ionIoni,1000070140.000000,9.492953,0.286237,2.281309,1.000000,0.000167
Secondary ,Gas,ionIoni,1000070140.000000,9.492980,0.286233,2.281306,1.000000,0.000225
Secondary ,Gas,ionIoni,1000070140.000000,9.492986,0.286233,2.281305,1.000000,0.000064
Secondary ,Gas,ionIoni,1000070140.000000,9.493080,0.286220,2.281295,1.000000,0.000886
Secondary ,Gas,ionIoni,1000070140.000000,9.493083,0.286220,2.281295,1.000000,0.000053
Secondary ,Gas,ionIoni,1000070140.000000,9.493088,0.286219,2.281295,1.000000,0.000108
Secondary ,Gas,ionIoni,1000070140.000000,9.493116,0.286215,2.281292,1.000000,0.000152
Secondary ,Gas,ionIoni,1000070140.000000,9.493145,0.286211,2.281289,1.000000,0.000107
Secondary ,Gas,ionIoni,1000070140.000000,9.493155,0.286210,2.281287,1.000000,0.000006
Secondary ,Gas,ionIoni,1000070140.000000,9.493176,0.286207,2.281285,1.000000,0.000200
Secondary ,Gas,ionIoni,1000070140.000000,9.493180,0.286207,2.281285,1.000000,0.000005
Secondary ,Gas,ionIoni,1000070140.000000,9.493181,0.286206,2.281285,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493200,0.286204,2.281283,1.000000,0.000045
Secondary ,Gas,ionIoni,1000070140.000000,9.493203,0.286203,2.281282,1.000000,0.000162
