Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
Primary ,Cathode,hadElastic,2112.000000,15.464987,0.621944,-0.831114,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.659518,0.623488,-0.791408,0.000000,0.000000
Primary ,Cathode,neutronInelastic,2112.000000,15.282796,-0.689627,-2.725597,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.282796,-0.689627,-2.725597,1.000000,0.044042
Secondary ,Cathode,ionIoni,1000240520.000000,15.659521,0.623488,-0.791407,1.000000,0.203637
Secondary ,Cathode,ionIoni,1000240520.000000,15.464987,0.621944,-0.831114,1.000000,0.021118
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
Primary ,Cathode,hadElastic,2112.000000,15.249644,0.939556,-0.538469,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.222864,0.939516,-0.534695,0.000000,0.000000
Primary ,Gas,neutronInelastic,2112.000000,11.675503,-0.688029,0.819283,0.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,11.675661,-0.688023,0.819287,1.000000,0.000908
Secondary ,Gas,ionIoni,1000050110.000000,11.675769,-0.688020,0.819290,1.000000,0.000351
Secondary ,Gas,ionIoni,1000050110.000000,11.675815,-0.688018,0.819291,1.000000,0.000186
Secondary ,Gas,ionIoni,1000050110.000000,11.675821,-0.688018,0.819292,1.000000,0.000049
Secondary ,Gas,ionIoni,1000050110.000000,11.675850,-0.688017,0.819292,1.000000,0.000032
Secondary ,Gas,ionIoni,1000050110.000000,11.675863,-0.688016,0.819293,1.000000,0.000001
Secondary ,Gas,ionIoni,1000050110.000000,11.675912,-0.688014,0.819294,1.000000,0.000233
Secondary ,Gas,ionIoni,1000050110.000000,11.675919,-0.688014,0.819294,1.000000,0.000008
Secondary ,Gas,ionIoni,1000050110.000000,11.675945,-0.688013,0.819295,1.000000,0.000002
