Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
Primary ,Cathode,hadElastic,2112.000000,15.197858,-0.134813,-2.160841,0.000000,0.000000
Primary ,Cathode,hadElastic,2112.000000,15.705718,-0.160979,-2.261104,0.000000,0.000000
Secondary ,Cathode,ionIoni,1000260560.000000,15.705718,-0.160979,-2.261104,1.000000,0.022513
Secondary ,Cathode,ionIoni,1000260560.000000,15.197858,-0.134813,-2.160841,1.000000,0.116039
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
Primary ,Cathode,hadElastic,2112.000000,15.333268,0.392102,-1.106494,0.000000,0.000000
Primary ,Gas,neutronInelastic,2112.000000,11.582797,0.216447,-0.967361,0.000000,0.000000
Secondary ,Gas,ionIoni,1000050110.000000,11.582825,0.216448,-0.967354,1.000000,0.000140
Secondary ,Gas,ionIoni,1000050110.000000,11.582836,0.216448,-0.967352,1.000000,0.000111
Secondary ,Gas,ionIoni,1000050110.000000,11.582866,0.216449,-0.967344,1.000000,0.000131
Secondary ,Gas,ionIoni,1000050110.000000,11.582873,0.216449,-0.967342,1.000000,0.000136
Secondary ,Gas,ionIoni,1000050110.000000,11.582903,0.216450,-0.967334,1.000000,0.000406
Secondary ,Gas,ionIoni,1000050110.000000,11.582920,0.216451,-0.967330,1.000000,0.000332
Secondary ,Gas,ionIoni,1000050110.000000,11.582925,0.216451,-0.967329,1.000000,0.000185
Secondary ,Gas,ionIoni,1000050110.000000,11.582970,0.216452,-0.967318,1.000000,0.000799
Secondary ,Gas,ionIoni,1000050110.000000,11.582975,0.216452,-0.967316,1.000000,0.000024
Secondary ,Gas,ionIoni,1000050110.000000,11.582980,0.216453,-0.967315,1.000000,0.000015
Secondary ,Gas,ionIoni,1000050110.000000,11.582987,0.216453,-0.967313,1.000000,0.000163
Secondary ,Gas,ionIoni,1000050110.000000,11.582988,0.216453,-0.967313,1.000000,0.000203
Secondary ,Gas,ionIoni,1000050110.000000,11.582993,0.216453,-0.967312,1.000000,0.000316
